Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
XGBClassifier,1.0,1.0,1.0,1.0,1.916640281677246
BaggingClassifier,1.0,1.0,1.0,1.0,0.05285906791687012
LabelPropagation,0.9916317991631799,0.9478165938864629,0.947816593886463,0.9916317991631799,0.04549908638000488
LabelSpreading,0.9916317991631799,0.9478165938864629,0.947816593886463,0.9916317991631799,0.045163869857788086
LinearDiscriminantAnalysis,0.9790794979079498,0.9412663755458515,0.9412663755458515,0.980374909790955,0.1349635124206543
NearestCentroid,0.9623430962343096,0.9325327510917031,0.9325327510917031,0.9669323091100822,0.00932002067565918
GaussianNB,0.9623430962343096,0.9325327510917031,0.9325327510917031,0.9669323091100822,0.009173393249511719
BernoulliNB,0.9581589958158996,0.9303493449781659,0.930349344978166,0.9637643620907218,0.010431766510009766
LGBMClassifier,0.9916317991631799,0.9,0.9,0.9911850908576394,0.2296898365020752
DecisionTreeClassifier,0.9916317991631799,0.9,0.9,0.9911850908576394,0.012695550918579102
RandomForestClassifier,0.9916317991631799,0.9,0.9,0.9911850908576394,0.1600203514099121
ExtraTreesClassifier,0.9916317991631799,0.9,0.9,0.9911850908576394,0.09522771835327148
AdaBoostClassifier,0.9874476987447699,0.8978165938864628,0.8978165938864631,0.9871310485583061,0.18079924583435059
KNeighborsClassifier,0.9874476987447699,0.8978165938864628,0.8978165938864631,0.9871310485583061,0.11530089378356934
ExtraTreeClassifier,0.9874476987447699,0.85,0.85,0.9863809853804745,0.012406587600708008
SVC,0.9874476987447699,0.85,0.85,0.9863809853804745,0.016553640365600586
LogisticRegression,0.9790794979079498,0.7978165938864629,0.7978165938864629,0.9773016423007906,0.029813528060913086
LinearSVC,0.9748953974895398,0.7956331877729257,0.7956331877729258,0.9735552725729186,0.01673746109008789
QuadraticDiscriminantAnalysis,0.9707112970711297,0.7934497816593886,0.7934497816593885,0.9699724466360474,0.012109756469726562
PassiveAggressiveClassifier,0.9790794979079498,0.75,0.75,0.9757057092336379,0.009402275085449219
SGDClassifier,0.9707112970711297,0.7456331877729258,0.7456331877729258,0.968222299221107,0.009030580520629883
CalibratedClassifierCV,0.9707112970711297,0.6978165938864629,0.6978165938864629,0.9659879929270931,0.04878425598144531
Perceptron,0.9581589958158996,0.5,0.5,0.9376855129993205,0.009609699249267578
DummyClassifier,0.9581589958158996,0.5,0.5,0.9376855129993205,0.009150505065917969
RidgeClassifier,0.9581589958158996,0.5,0.5,0.9376855129993205,0.012347698211669922
RidgeClassifierCV,0.9581589958158996,0.5,0.5,0.9376855129993205,0.09077024459838867
